40.746395, -73.99854, 0.0, 1311184202, 50, New York, NY
40.746395, -73.99854, 0.0, 1311184489, 50, New York, NY
40.746395, -73.99854, 0.0, 1311184899, 50, New York, NY
40.74333, -74.001, 0.0, 1311189970, 50, New York, NY
40.73383, -73.99936, 0.0, 1311191996, 50, New York, NY
40.73368, -74.003334, 0.0, 1311196014, 50, New York, NY
40.73399, -74.00321, 0.0, 1311196213, 50, New York, NY
40.73399, -74.00321, 0.0, 1311197503, 50, New York, NY
40.724705, -74.00554, 0.0, 1311197613, 50, New York, NY
40.724705, -74.00554, 0.0, 1311197826, 50, New York, NY
40.724705, -74.00554, 0.0, 1311198090, 50, New York, NY
40.724705, -74.00554, 0.0, 1311198411, 50, New York, NY
40.724705, -74.00554, 0.0, 1311198477, 50, New York, NY
40.724705, -74.00554, 0.0, 1311198521, 50, New York, NY
40.724705, -74.00554, 0.0, 1311198547, 50, New York, NY
40.724705, -74.00554, 0.0, 1311198557, 50, New York, NY
40.72255, -74.00406, 0.0, 1311199298, 50, New York, NY
40.72255, -74.00406, 0.0, 1311199351, 50, New York, NY
40.72192, -74.00515, 0.0, 1311199926, 50, New York, NY
40.71461, -73.99232, 0.0, 1311200262, 50, New York, NY
40.703903, -74.01475, 0.0, 1311204037, 50, New York, NY
40.703903, -74.01475, 0.0, 1311204050, 50, New York, NY
40.703903, -74.01475, 0.0, 1311205265, 50, New York, NY
40.696365, -74.012085, 0.0, 1311206399, 50, New York, NY
40.696365, -74.012085, 0.0, 1311206551, 50, New York, NY
40.696365, -74.012085, 0.0, 1311206694, 50, New York, NY
40.696365, -74.012085, 0.0, 1311206717, 50, New York, NY
40.696365, -74.012085, 0.0, 1311207087, 50, New York, NY
40.708263, -74.01626, 0.0, 1311207417, 50, New York, NY
40.708263, -74.01626, 0.0, 1311208232, 50, New York, NY
40.712147, -74.056114, 0.0, 1311210544, 50, New York, NY
40.712147, -74.056114, 0.0, 1311210556, 50, New York, NY
40.712147, -74.056114, 0.0, 1311210601, 50, New York, NY
40.712147, -74.056114, 0.0, 1311210610, 50, New York, NY
40.712147, -74.056114, 0.0, 1311210624, 50, New York, NY
40.712147, -74.056114, 0.0, 1311210683, 50, New York, NY
40.712147, -74.056114, 0.0, 1311210719, 50, New York, NY
40.676533, -74.018974, 0.0, 1311210827, 50, New York, NY
40.69647, -74.01535, 0.0, 1311213903, 50, New York, NY
40.69647, -74.01535, 0.0, 1311213910, 50, New York, NY
40.69647, -74.01535, 0.0, 1311213921, 50, New York, NY
40.69647, -74.01535, 0.0, 1311213929, 50, New York, NY
42.349087, -71.073814, 0.0, 1311430475, 50, Boston, MA
42.349087, -71.073814, 0.0, 1311430489, 50, Boston, MA
42.349087, -71.073814, 0.0, 1311430775, 50, Boston, MA
42.35238, -71.07551, 0.0, 1311431017, 50, Boston, MA
42.35238, -71.07551, 0.0, 1311431060, 50, Boston, MA
42.35345, -71.07409, 0.0, 1311431139, 50, Boston, MA
42.355553, -71.07147, 0.0, 1311431498, 50, Boston, MA
42.355553, -71.07147, 0.0, 1311431518, 50, Boston, MA
42.355553, -71.07147, 0.0, 1311431530, 50, Boston, MA
42.356655, -71.06604, 0.0, 1311432128, 50, Boston, MA
42.357204, -71.06338, 0.0, 1311432371, 50, Boston, MA
42.357204, -71.06338, 0.0, 1311432426, 50, Boston, MA
42.357204, -71.06338, 0.0, 1311432438, 50, Boston, MA
42.357204, -71.06338, 0.0, 1311432483, 50, Boston, MA
42.357204, -71.06338, 0.0, 1311432684, 50, Boston, MA
42.35904, -71.05751, 0.0, 1311433515, 50, Boston, MA
42.358875, -71.055244, 0.0, 1311433887, 50, Boston, MA
42.360394, -71.04803, 0.0, 1311434354, 50, Boston, MA
42.360477, -71.049255, 0.0, 1311435077, 50, Boston, MA
42.360477, -71.049255, 0.0, 1311435225, 50, Boston, MA
42.366116, -71.06047, 0.0, 1311437975, 50, Boston, MA
42.366116, -71.06047, 0.0, 1311440790, 50, Boston, MA
